VANUS,SUGU,RAHVUS_3,CODE,MK_NIMI,Piirkonna_NIMI,HARIDUS_4,n
0-15,Mehed,Muud rahvused,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,6956
0-15,Mehed,Muud rahvused,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,508
0-15,Mehed,Muud rahvused,50,Jõgeva maakond,Jõgeva maakond,Haridustase teadmata,95
0-15,Mehed,Muud rahvused,50,Jõgeva maakond,Jõgeva maakond,Põhiharidus või madalam,2
0-15,Mehed,Muud rahvused,52,Järva maakond,Järva maakond,Haridustase teadmata,50
0-15,Mehed,Muud rahvused,52,Järva maakond,Järva maakond,Põhiharidus või madalam,5
0-15,Mehed,Muud rahvused,56,Lääne maakond,Lääne maakond,Haridustase teadmata,78
0-15,Mehed,Muud rahvused,56,Lääne maakond,Lääne maakond,Põhiharidus või madalam,10
0-15,Mehed,Muud rahvused,60,Lääne-Viru maakond,Lääne-Viru maakond,Haridustase teadmata,337
0-15,Mehed,Muud rahvused,60,Lääne-Viru maakond,Lääne-Viru maakond,Põhiharidus või madalam,31
0-15,Mehed,Muud rahvused,64,Põlva maakond,Põlva maakond,Haridustase teadmata,46
0-15,Mehed,Muud rahvused,64,Põlva maakond,Põlva maakond,Põhiharidus või madalam,2
0-15,Mehed,Muud rahvused,68,Pärnu maakond,Pärnu maakond,Haridustase teadmata,365
0-15,Mehed,Muud rahvused,68,Pärnu maakond,Pärnu maakond,Põhiharidus või madalam,33
0-15,Mehed,Muud rahvused,71,Rapla maakond,Rapla maakond,Haridustase teadmata,70
0-15,Mehed,Muud rahvused,71,Rapla maakond,Rapla maakond,Põhiharidus või madalam,14
0-15,Mehed,Muud rahvused,74,Saare maakond,Saare maakond,Haridustase teadmata,14
0-15,Mehed,Muud rahvused,79,Tartu maakond,Tartu linn,Haridustase teadmata,1046
0-15,Mehed,Muud rahvused,79,Tartu maakond,Tartu linn,Põhiharidus või madalam,82
0-15,Mehed,Muud rahvused,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Haridustase teadmata,305
0-15,Mehed,Muud rahvused,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Põhiharidus või madalam,20
0-15,Mehed,Muud rahvused,81,Valga maakond,Valga maakond,Haridustase teadmata,413
0-15,Mehed,Muud rahvused,81,Valga maakond,Valga maakond,Põhiharidus või madalam,30
0-15,Mehed,Muud rahvused,84,Viljandi maakond,Viljandi maakond,Haridustase teadmata,56
0-15,Mehed,Muud rahvused,84,Viljandi maakond,Viljandi maakond,Põhiharidus või madalam,2
0-15,Mehed,Muud rahvused,87,Võru maakond,Võru maakond,Haridustase teadmata,57
0-15,Mehed,Muud rahvused,87,Võru maakond,Võru maakond,Põhiharidus või madalam,2
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,4
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,16
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,1
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Kristiine linnaosa,Haridustase teadmata,8
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,19
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,1
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,11
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,2
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,5
0-15,Mehed,Rahvus teadmata,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,10
0-15,Mehed,Rahvus teadmata,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,10
0-15,Mehed,Rahvus teadmata,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,4
0-15,Mehed,Rahvus teadmata,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,1
0-15,Mehed,Rahvus teadmata,60,Lääne-Viru maakond,Lääne-Viru maakond,Haridustase teadmata,1
0-15,Mehed,Rahvus teadmata,68,Pärnu maakond,Pärnu maakond,Haridustase teadmata,1
0-15,Mehed,Rahvus teadmata,79,Tartu maakond,Tartu linn,Haridustase teadmata,1
0-15,Mehed,Rahvus teadmata,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Haridustase teadmata,1
0-15,Mehed,Rahvus teadmata,81,Valga maakond,Valga maakond,Haridustase teadmata,1
0-15,Naised,Eestlased,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,2101
0-15,Naised,Eestlased,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,150
0-15,Naised,Eestlased,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,4171
0-15,Naised,Eestlased,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,259
0-15,Naised,Eestlased,1,Harju maakond,Kristiine linnaosa,Haridustase teadmata,2057
0-15,Naised,Eestlased,1,Harju maakond,Kristiine linnaosa,Põhiharidus või madalam,104
0-15,Naised,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,2622
0-15,Naised,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,162
0-15,Naised,Eestlased,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,2979
0-15,Naised,Eestlased,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,191
0-15,Naised,Eestlased,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,2555
0-15,Naised,Eestlased,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,193
0-15,Naised,Eestlased,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,1168
0-15,Naised,Eestlased,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,93
0-15,Naised,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,2993
0-15,Naised,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,145
0-15,Naised,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,15274
0-15,Naised,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Põhiharidus või madalam,962
0-15,Naised,Eestlased,39,Hiiu maakond,Hiiu maakond,Haridustase teadmata,499
0-15,Naised,Eestlased,39,Hiiu maakond,Hiiu maakond,Põhiharidus või madalam,38
0-15,Naised,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,1726
0-15,Naised,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,144
0-15,Naised,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Haridustase teadmata,1840
0-15,Naised,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Põhiharidus või madalam,117
0-15,Naised,Eestlased,52,Järva maakond,Järva maakond,Haridustase teadmata,2148
0-15,Naised,Eestlased,52,Järva maakond,Järva maakond,Põhiharidus või madalam,149
0-15,Naised,Eestlased,56,Lääne maakond,Lääne maakond,Haridustase teadmata,1386
0-15,Naised,Eestlased,56,Lääne maakond,Lääne maakond,Põhiharidus või madalam,90
0-15,Naised,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Haridustase teadmata,4146
0-15,Naised,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Põhiharidus või madalam,282
0-15,Naised,Eestlased,64,Põlva maakond,Põlva maakond,Haridustase teadmata,1637
0-15,Naised,Eestlased,64,Põlva maakond,Põlva maakond,Põhiharidus või madalam,105
0-15,Naised,Eestlased,68,Pärnu maakond,Pärnu maakond,Haridustase teadmata,6407
0-15,Naised,Eestlased,68,Pärnu maakond,Pärnu maakond,Põhiharidus või madalam,409
0-15,Naised,Eestlased,71,Rapla maakond,Rapla maakond,Haridustase teadmata,2713
0-15,Naised,Eestlased,71,Rapla maakond,Rapla maakond,Põhiharidus või madalam,194
0-15,Naised,Eestlased,74,Saare maakond,Saare maakond,Haridustase teadmata,2265
0-15,Naised,Eestlased,74,Saare maakond,Saare maakond,Põhiharidus või madalam,162
0-15,Naised,Eestlased,79,Tartu maakond,Tartu linn,Haridustase teadmata,7044
0-15,Naised,Eestlased,79,Tartu maakond,Tartu linn,Põhiharidus või madalam,408
0-15,Naised,Eestlased,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Haridustase teadmata,5900
0-15,Naised,Eestlased,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Põhiharidus või madalam,330
0-15,Naised,Eestlased,81,Valga maakond,Valga maakond,Haridustase teadmata,1505
0-15,Naised,Eestlased,81,Valga maakond,Valga maakond,Põhiharidus või madalam,115
0-15,Naised,Eestlased,84,Viljandi maakond,Viljandi maakond,Haridustase teadmata,3258
0-15,Naised,Eestlased,84,Viljandi maakond,Viljandi maakond,Põhiharidus või madalam,220
0-15,Naised,Eestlased,87,Võru maakond,Võru maakond,Haridustase teadmata,2347
0-15,Naised,Eestlased,87,Võru maakond,Võru maakond,Põhiharidus või madalam,173
0-15,Naised,Muud rahvused,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,1686
0-15,Naised,Muud rahvused,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,101
0-15,Naised,Muud rahvused,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,1248
0-15,Naised,Muud rahvused,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,65
0-15,Naised,Muud rahvused,1,Harju maakond,Kristiine linnaosa,Haridustase teadmata,507
0-15,Naised,Muud rahvused,1,Harju maakond,Kristiine linnaosa,Põhiharidus või madalam,28
0-15,Naised,Muud rahvused,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,6027
0-15,Naised,Muud rahvused,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,382
0-15,Naised,Muud rahvused,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,1746
0-15,Naised,Muud rahvused,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,105
0-15,Naised,Muud rahvused,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,284
0-15,Naised,Muud rahvused,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,20
0-15,Naised,Muud rahvused,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,418
0-15,Naised,Muud rahvused,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,30
0-15,Naised,Muud rahvused,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,1493
0-15,Naised,Muud rahvused,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,92
0-15,Naised,Muud rahvused,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,2528
0-15,Naised,Muud rahvused,37,Harju maakond,"Harju maakond, v.a Tallinn",Põhiharidus või madalam,149
0-15,Naised,Muud rahvused,39,Hiiu maakond,Hiiu maakond,Haridustase teadmata,1
0-15,Naised,Muud rahvused,39,Hiiu maakond,Hiiu maakond,Põhiharidus või madalam,1
0-15,Naised,Muud rahvused,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,6488
0-15,Naised,Muud rahvused,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,512
0-15,Naised,Muud rahvused,50,Jõgeva maakond,Jõgeva maakond,Haridustase teadmata,89
0-15,Naised,Muud rahvused,50,Jõgeva maakond,Jõgeva maakond,Põhiharidus või madalam,9
0-15,Naised,Muud rahvused,52,Järva maakond,Järva maakond,Haridustase teadmata,41
0-15,Naised,Muud rahvused,52,Järva maakond,Järva maakond,Põhiharidus või madalam,3
0-15,Naised,Muud rahvused,56,Lääne maakond,Lääne maakond,Haridustase teadmata,72
0-15,Naised,Muud rahvused,56,Lääne maakond,Lääne maakond,Põhiharidus või madalam,6
0-15,Naised,Muud rahvused,60,Lääne-Viru maakond,Lääne-Viru maakond,Haridustase teadmata,310
0-15,Naised,Muud rahvused,60,Lääne-Viru maakond,Lääne-Viru maakond,Põhiharidus või madalam,22
0-15,Naised,Muud rahvused,64,Põlva maakond,Põlva maakond,Haridustase teadmata,35
0-15,Naised,Muud rahvused,64,Põlva maakond,Põlva maakond,Põhiharidus või madalam,2
0-15,Naised,Muud rahvused,68,Pärnu maakond,Pärnu maakond,Haridustase teadmata,377
0-15,Naised,Muud rahvused,68,Pärnu maakond,Pärnu maakond,Põhiharidus või madalam,37
0-15,Naised,Muud rahvused,71,Rapla maakond,Rapla maakond,Haridustase teadmata,80
0-15,Naised,Muud rahvused,71,Rapla maakond,Rapla maakond,Põhiharidus või madalam,1
0-15,Naised,Muud rahvused,74,Saare maakond,Saare maakond,Haridustase teadmata,9
0-15,Naised,Muud rahvused,74,Saare maakond,Saare maakond,Põhiharidus või madalam,1
0-15,Naised,Muud rahvused,79,Tartu maakond,Tartu linn,Haridustase teadmata,1073
0-15,Naised,Muud rahvused,79,Tartu maakond,Tartu linn,Põhiharidus või madalam,61
0-15,Naised,Muud rahvused,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Haridustase teadmata,316
0-15,Naised,Muud rahvused,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Põhiharidus või madalam,15
0-15,Naised,Muud rahvused,81,Valga maakond,Valga maakond,Haridustase teadmata,365
0-15,Naised,Muud rahvused,81,Valga maakond,Valga maakond,Põhiharidus või madalam,26
0-15,Naised,Muud rahvused,84,Viljandi maakond,Viljandi maakond,Haridustase teadmata,47
0-15,Naised,Muud rahvused,84,Viljandi maakond,Viljandi maakond,Põhiharidus või madalam,3
0-15,Naised,Muud rahvused,87,Võru maakond,Võru maakond,Haridustase teadmata,59
0-15,Naised,Muud rahvused,87,Võru maakond,Võru maakond,Põhiharidus või madalam,3
0-15,Naised,Rahvus teadmata,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,4
0-15,Naised,Rahvus teadmata,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,1
0-15,Naised,Rahvus teadmata,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,16
0-15,Naised,Rahvus teadmata,1,Harju maakond,Kristiine linnaosa,Haridustase teadmata,9
0-15,Naised,Rahvus teadmata,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,5
0-15,Naised,Rahvus teadmata,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,2
0-15,Naised,Rahvus teadmata,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,8
0-15,Naised,Rahvus teadmata,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,1
0-15,Naised,Rahvus teadmata,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,3
0-15,Naised,Rahvus teadmata,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,1
0-15,Naised,Rahvus teadmata,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,6
0-15,Naised,Rahvus teadmata,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,3
0-15,Naised,Rahvus teadmata,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,13
0-15,Naised,Rahvus teadmata,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,1
0-15,Naised,Rahvus teadmata,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,5
0-15,Naised,Rahvus teadmata,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,5
0-15,Naised,Rahvus teadmata,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,1
0-15,Naised,Rahvus teadmata,68,Pärnu maakond,Pärnu maakond,Haridustase teadmata,1
0-15,Naised,Rahvus teadmata,79,Tartu maakond,Tartu linn,Haridustase teadmata,3
0-15,Naised,Rahvus teadmata,79,Tartu maakond,Tartu linn,Põhiharidus või madalam,1
0-15,Naised,Rahvus teadmata,81,Valga maakond,Valga maakond,Haridustase teadmata,1
0-15,Naised,Rahvus teadmata,84,Viljandi maakond,Viljandi maakond,Haridustase teadmata,1
0-15,Naised,Rahvus teadmata,87,Võru maakond,Võru maakond,Haridustase teadmata,1
16-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,3
16-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,520
16-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Kõrgharidus,62
16-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,552
16-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,3
16-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,659
16-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Kõrgharidus,84
16-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,906
16-24,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,386
16-24,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Kõrgharidus,51
16-24,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Põhiharidus või madalam,490
16-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,3
16-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,674
16-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Kõrgharidus,57
16-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,802
16-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,4
16-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,653
16-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Kõrgharidus,79
16-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,715
16-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,5
16-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,698
16-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Kõrgharidus,107
16-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,791
16-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,1
16-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,293
16-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Kõrgharidus,40
16-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,354
16-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,4
16-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,495
16-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Kõrgharidus,51
16-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,620
16-24,Mehed,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,6
16-24,Mehed,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,2715
16-24,Mehed,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Kõrgharidus,228
16-24,Mehed,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Põhiharidus või madalam,3861
16-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Haridustase teadmata,1
16-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,187
16-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Kõrgharidus,16
16-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Põhiharidus või madalam,195
16-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,2
16-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,763
16-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Kõrgharidus,56
16-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,741
